Category,State, Description,Source
Community/Human Services,Colorado,"$22 million to the Colorado Department of Human services (CDHS) for expenditures incurred to respond to second-order effects of the COVID-19 emergency, specifically for increased caseload due to the COVID-19-related recession.",State
Community/Human Services,Connecticut,"$125 million to non-profit providers to support additional staff costs related to the pandemic, the purchase and distribution of PPE, assistance with testing, as well as funding to meet other challenges of COVID-19.",State
Community/Human Services,Connecticut,"$9 million to for an art organization grant program. Qualifying organizations will receive a base grant of $5,000. For organizations that have raised funds between March 10 and November 1, 2020, the program will offer a supplemental match of 50 percent of contributed income during that period. The maximum award for any organization is $750,000.",State
Community/Human Services,Delaware,$117.5 million for the childcare enhancement reimbursement program.,State
Community/Human Services,Delaware,$4.3 million not-for-profit support.,State
Community/Human Services,Delaware,$6 million to the Department of Health and Social Services for childcare reimbursements.,State
Community/Human Services,Florida,$174.8 million to the Department of Families and Children.,State
Community/Human Services,Florida,$39.2 million to the Department of Veterans Affairs.,State
Community/Human Services,Georgia,$1.8 million for expenses for food delivery to residents.,State
Community/Human Services,Georgia,$3.4 million for communication and enforcement of public health orders.,State
Community/Human Services,Georgia,"$787,802 for care for homeless populations.",State
Community/Human Services,Hawaii,$15 million to the Department of Human Services for the SCRF childcare facility subsidy.,State
Community/Human Services,Hawaii,$5 million to the Department of Labor and Industrial Relations for food distribution.,State
Community/Human Services,Idaho,$2.6 million to the Idaho Food Bank and its more than 400 partner organizations in all 44 counties to address food insecurity issues associated with COVID-19.,Governor
Community/Human Services,Idaho,"$250,000 to the Idaho Council on Domestic Violence and Victim Assistance.",Governor
Community/Human Services,Indiana,$11 million to the Indiana Department of Child Services for a grant assistance program.,State
Community/Human Services,Iowa,"$56.6 million to child care providers. Grants to family child care providers, child care centers, and certain eligible certified centers to support the increased costs and decreased revenue due to COVID-19. Those who are eligible will receive a grant paid out over a three-month time span. Family providers will receive up to $1,200 per month and licensed centers will receive up to $8,500 per month based on the number of eligible applicants.",Media
Community/Human Services,Maine,"$12.2 million to purchase testing supplies for the Maine Health and Environmental Testing Laboratory and public service announcements regarding the reopening of State services. Provide social support services for individuals in isolation or quarantine through partnership with non-profit organizations. Provides funding for the Overdose Prevention Through Intensive Outreach, Naloxone, and Safety (OPTIONS) program that will combine elements of the evidence-based Post Overdose Response Team model with a public health campaign. Provides funding for a cooperative agreement with Maine Community College System, to fund Maine Health Ambassadors who engage visitors to the State in high-traffic places in tourist destinations, such as visitors' centers and beach parking lot entrances about COVID-19 symptoms and offer advice on staying healthy.",State
Community/Human Services,Maine,"$2 million to support Maine food security organizations for costs incurred as they have addressed supply chain disruptions, food storage and distribution infrastructure limitations, and public health and safety challenges in response to the pandemic.",State
Community/Human Services,Maine,"$536,000 to the Area Agencies on Aging that operate the Meals on Wheels program, enabling them to continue to provide deliveries to an increased number of Maine citizens in need.",State
Community/Human Services,Michigan,$125 million for child care providers to reduce costs for families of essential workers.,Legislation
Community/Human Services,Michigan,$4 million victim service grants.,Legislation
Community/Human Services,Michigan,$5 million for multicultural assistance.,Legislation
Community/Human Services,Michigan,$9 million for food banks.,Legislation
Community/Human Services,Minnesota,$1.3 million for Grocery Store Point of Sale Expansion.,State
Community/Human Services,Minnesota,$1.6 million for tribal food assistance.,State
Community/Human Services,Minnesota,$10 million to expand food access for Minnesota children and families.,State
Community/Human Services,Minnesota,$11.3 million for senior meals.,State
Community/Human Services,Minnesota,$13 million to the Department of Human Services for operating expenses for direct care and treatment.,State
Community/Human Services,Minnesota,"$19 million to the Department of Human Services for homeless, victim services and isolation space.",State
Community/Human Services,Minnesota,$20.3 million for COVID-19 related retention grants for home and community based service providers.,State
Community/Human Services,Minnesota,$3 million for Supports for Behavioral Health and School Linked Mental Health Providers.,State
Community/Human Services,Minnesota,$3.3 million for an operational funding for community alternative care site.,State
Community/Human Services,Minnesota,$3.6 million for prepared meals for homeless shelters and unsheltered adults in encampments.,State
Community/Human Services,Minnesota,$35.5 million for summer food support for children.,State
Community/Human Services,Minnesota,"$40,000 for rural mental health services and outreach",State
Community/Human Services,Minnesota,$56.6 million for emergency grants for child care.,State
Community/Human Services,Minnesota,$6 million for Food Shelf and Transportation Support.,State
Community/Human Services,Minnesota,$6 million for food bank support.,State
Community/Human Services,Minnesota,$6 million for food shelf support and transportation.,State
Community/Human Services,Montana,"$400,000 for Stay Connected grants to assist organizations who work to reduce isolation among isolated populations, including the elderly, disabled, congregate care settings, senior centers, sober and transitional living. rant funds can be used by eligible organizations to fund technologies and other efforts to encourage physically distant forms of social interaction for isolated Montanans during the COVID-19 public health emergency.",State
Community/Human Services,Montana,"Current funding available is $650,000. Grants per individual (50k) will go towards purchasing equipment to assist Montanans with disabilities access telework equipment. DPHHS will partner with a local non-profit organization to assess and support assistive technology needs of individuals with disabilities during COVID-19. This assistance will help ensure people with disabilities have the equipment needed to adapt to the change in working environment due to COVID-19. ",State
Community/Human Services,Montana,"Current funding available is $10 million. Grants (10K) per applicant are available for nonprofit organizations impacted by the COVID-19 public health emergency to retain existing programs and services, employees, or organizational viability for provision of future services and operations. Eligible applicants are registered, Montana-based social service nonprofits that were operating prior to February 15, 2020. This includes senior services, housing services, transportation, public safety, energy assistance, economic development, job training, recreational services and tourism-related activities. ",State
Community/Human Services,Montana,"Current funding available is $2 million. Grants of up to 50K per applicant are available to increase food security for Montanans hardest hit by the COVID-19 pandemic. Eligible applicants include community organizations providing food assistance to Montanans with limited resources, food banks, food pantries, community cupboards, and entities with infrastructures already in place to begin new food distribution programs. ",State
Community/Human Services,Montana,"The Behavioral Health Grant has been created in response to the economic impact caused by the novel coronavirus (COVID-19) pandemic. Grants are available for Montana licensed behavioral health providers impacted by the COVID-19 public health emergency to retain existing programs and services, employees, or organizational viability for provision of future services and operations. Current funding available is $33 million. Each eligible provider may only be awarded one behavioral health grant.",State
Community/Human Services,Nebraska,"$85 million to the Community CARES program to provide qualifying organizations awards or reimbursements of $25,000 or more to support existing services and programs that have been strained during the COVID-19 emergency.",Governor
Community/Human Services,Nevada,"$183,869 to support the Nevada 2-1-1 COVID-19 Hotline with intervention for callers in crisis due to the COVID-19 pandemic.",Legislature
Community/Human Services,Nevada,$3.12 million to a WIC Online Grocery Delivery Access Program under Nevada's Department of Health and Human Service to ensure WIC participants are able to have confidential grocery delivery so that recipients can remain at home to self-isolate and reduce the risk of contracting and spreading COVID-19.,Governor
Community/Human Services,Nevada,"$445,000 to provide information, education, and direct services to help address the increasing numbers of suicides among youth during the COVID-19 pandemic.",Legislature
Community/Human Services,Nevada,"$8.5 million to food security administered by the Nevada Department of Agriculture to address food insecurity for Nevadans and relief for Nevada's agriculture and food industries. Funding may be utilized by community organizations and public entities working to reduce food insecurity in Nevada, including Three Square Food Bank in Las Vegas and the Food Bank of Northern Nevada in Reno/Sparks.",Governor
Community/Human Services,Nevada,"$849,000 to SNAP Pandemic Electronic Benefit Transfer (P-EBT) administered by the Nevada Department of Health and Human Services,. This enables SNAP recipients to receive groceries delivered to their home. The allocation of CRF funds allows DWSS to issue additional funds for children that are not on the National School Lunch Program.",Governor
Community/Human Services,New Hampshire,$1 million to the New Hampshire Volunteers COVID-19 Relief and Support Fund.,Governor
Community/Human Services,New Hampshire,"$1.5 million to support volunteers and volunteer programs essential to meeting critical COVID-19 needs in New Hampshire. The New Hampshire Volunteers COVID-19 Response Program (the ""Program"") funds will be distributed through Volunteer NH (VNH). VNH is a nonprofit organization with a mission to promote the tradition of volunteerism and ethic of service in New Hampshire, making it uniquely able to provide the critical service of connecting organizations with the volunteer resources required to support New Hampshire communities during the COVID-19 response.",Governor
Community/Human Services,New Hampshire,$3 million for the New Hampshire Food Bank Grant.,Governor
Community/Human Services,New Hampshire,$35 million to the New Hampshire Childcare Recovery and Stabilization Program.,Governor
Community/Human Services,New Hampshire,$41.2 million to the Nonprofit Emergency Relief Fund.,Governor
Community/Human Services,New Hampshire,"$470,000 for the Supporting Children in Care Program to provide grants for children in foster care or relative care to participate in summer programs. The New Hampshire Foster & Adoptive Parent Association (NHFAPA) will administer the program by identifying the youth(s), the desired summer or fall programming/respite opportunity, and its anticipated cost. The programming should promote youth socialization and recreation. Activities may include day camp, overnight camp, in-home childcare, in-state day trips, recreational programs, online programming, etc.",Governor
Community/Human Services,New Hampshire,"$492,678 for the New Hampshire COVID Community Support Program.",Governor
Community/Human Services,New Hampshire,"$500,000 to fund temporary stipends for Frontline Child Protective Service Workers (CPSW), Juvenile Justice Probation Officers, and Adult Protective Social Workers (APSWs). This program will provide payments to CPSW, Juvenile Justice Probation Officers, APSWs for weeks where they conduct front line protective services work that is not able to be conducted remotely.",Governor
Community/Human Services,New Hampshire,"$600,000 for the Domestic and Sexual Violence Relief Program.",Governor
Community/Human Services,New Hampshire,"$625,000 to assist with the outreach to substance use disorder (SUD) patients, creation of regional actions plans, and increased availability of harm reduction services across New Hampshire, as well as addressing the increased need do to the COVID-19 pandemic.",Governor
Community/Human Services,New Hampshire,"$698,530 to the New Hampshire Internet Crimes Against Children Taskforce Grant.",Governor
Community/Human Services,New Hampshire,"$7 million in CARES Act Coronavirus Relief Fund ('flex funds'ù) to help veterans in the Granite State through the New Hampshire Veterans COVID-19 Relief and Support Fund. The fund is intended to assist homeless veterans, aid veterans service programs that provide direct traditional services, such as financial assistance, and provide mental health support. This program is also designed to assist local veterans organizations such as American Legions and Veterans of Foreign Wars chapters, while also providing funding for mental health supports.",Governor
Community/Human Services,New Hampshire,$7.8 million to the New Hampshire Veterans COVID-19 Relief and Support Fund for veterans homelessness and mental health.,Governor
Community/Human Services,New Hampshire,"$700,000 to assist in the development of a statewide close-loop referral system. Due to COVID-19, New Hampshire's need for such a system has greatly increased due to pandemic response efforts often encourage isolation, which can be detrimental to those with SUD and has resulted in limited provider availability and restricted access to other services.",Governor
Community/Human Services,New Hampshire,"$750,000 to assist community-based nonprofit providers providing critical services, reducing the barriers to employment for individuals with substance use disorder (SUD) face.",Governor
Community/Human Services,New Hampshire,Governor Chris Sununu authorized the allocation and expenditure of an initial $20 million with $5 million in reserve in emergency funding from the CARES Act Coronavirus Relief Fund to provide emergency financial support to NH child care programs due to the economic disruption caused by COVID-19. The NH Child Care Recovery and Stabilization Program (CCRSP) will provide funding and support to eligible child care programs to assist in the recovery and stabilization process.,Governor
Community/Human Services,New Hampshire,"The Governor authorized a direct emergency grant of $2 million to the NH Food Bank, with an additional $3 million in emergency funds to be held in reserve to address additional needs.",Governor
Community/Human Services,New Hampshire,"The New Hampshire Nonprofit Emergency Relief Fund was established by Governor Chris Sununu through the Governor's Office for Emergency Relief and Recovery (GOFERR). The State of New Hampshire will award grants from the allocated $60 million to help nonprofit organizations impacted by the COVID-19 pandemic. The New Hampshire Center for Nonprofits, the New Hampshire Charitable Foundation, and the New Hampshire Community Development Finance Authority, have partnered to administer this program.",Governor
Community/Human Services,New Jersey,$10 million for food banks in order to continue providing families with food assistance during the pandemic.,Legislation
Community/Human Services,New Jersey,$13 million to the Department of Human Services for increased COVID-19 related General Assistance costs for individuals and couples without dependent children with low incomes.,State
Community/Human Services,New Jersey,$2 million to financial support for vulnerable youths experiencing hardships related to COVID-19's economic impacts,State
Community/Human Services,New Jersey,$22.8 million to the Department of Human Services for the Pandemic Electronic Benefit Transfer Program to issue food benefits to school-age children who were receiving free and reduced lunch but could not access those meals when schools closed.,State
Community/Human Services,New Jersey,$25 million to the Department of Agriculture to support for food banks due to increased demand and costs related to COVID-19.,State
Community/Human Services,New Jersey,"$250 million to the Department of Human Services for grants to childcare centers and in-home childcares to reopen or to provide financial assistance with ongoing increased COVID-19 costs to make physical space changes to support social distancing, purchase PPE and cleaning supplies, and to hire additional staff.",State
Community/Human Services,New Jersey,"$690,000 to the Department of Children and Families for costs for providing additional foster care support for individuals aging out of the system but with no employment due to COVID-19 restrictions.",State
Community/Human Services,New Mexico,$5 million for direct assistance to low-income residents who did not receive an 'úeconomic impact payment'ù from the federal government.,Legislation
Community/Human Services,New Mexico,$5 million for emergency food bank services.,Legislation
Community/Human Services,New York,Food banks: $6 million,Media
Community/Human Services,North Carolina,$6 million for food banks.,Governor
Community/Human Services,North Dakota,"$32.3 million to the Department of Human Services to assist with child care, meal services, long term care and other social service costs.",State
Community/Human Services,Ohio,"$30 million to the Ohio Department of Job and Family Services to fund the Child Care Grant Support to aid child care providers that choose to maintain reduced ratios and class sizes, as well as $9 million to support child care costs for school-age children impacted by remote learning and $1 million to fund the Trauma-Informed Certificate, ensuring all children service providers are trauma-informed to receive federal funds.",Other
Community/Human Services,Oklahoma,$6 million in CARES Act money to replenish food banks across the state.,Media
Community/Human Services,Oregon,$1 million to the Department of Justice for victims of domestic and sexual violence due to increasing needs resulting from the effects of the COVID-19 pandemic.,Legislation
Community/Human Services,Oregon,"$1.85 million for the Oregon Health Authority to increase COVID-19 testing capacity, with instructions.",Legislation
Community/Human Services,Oregon,"$105 million to provide flexibility and rapid response capability for the Department of Administrative Services to purchase equipment, supplies, and services on behalf of state agencies in responding to the effects of the COVID-19 pandemic.",Legislation
Community/Human Services,Oregon,"$3 million to the Department of Human Services for distribution to family, friend, and neighbor child care providers.",Legislation
Community/Human Services,Oregon,$30 million in assistance to help child care providers stay in business.,Legislation
Community/Human Services,Oregon,$4 million to support survivors of domestic violence.,Legislation
Community/Human Services,Oregon,"$50 million to support arts and cultural groups around the state that have closed or needed to cancel or postpone public events. Some organizations are identified, but others can apply for support through the county and tribal Cultural Coalitions. Those eligible include: cultural institutions, children's museums, county fairgrounds, festivals and community event organizations.",Legislation
Community/Human Services,Pennsylvania,$1 million for residential habilitation providers.,Legislation
Community/Human Services,Pennsylvania,"$10 million for a food relief access initiative that provides one-time grants to eligible food retailers in order to increase access to healthy, affordable grocery food options and to improve economic opportunities for underserved communities in urban, rural and suburban areas across the state.",Legislation
Community/Human Services,Pennsylvania,$10 million for domestic violence programs.,Legislation
Community/Human Services,Pennsylvania,$10 million for long-term managed care through the Living Independence for the Elderly providers program.,Legislation
Community/Human Services,Pennsylvania,$13 million for adult day care services.,Legislation
Community/Human Services,Pennsylvania,$140 million for personal assistance services.,Legislation
Community/Human Services,Pennsylvania,"$175 million for long-term living facilities. The funding is dividing to six regions in the state and will be granted to at least one eligible health collaborative applicant from each region to provide operations, management and administration to protect residents.",Legislation
Community/Human Services,Pennsylvania,"$20 million to the Dairy Assistance Program, including $5 million for the Agricultural surplus System Program for the purchase of dairy products.",Legislation
Community/Human Services,Pennsylvania,"$20 million to the State Food Purchase Program for grants to counties for the purchase of food to be provided to needy persons in Pennsylvania. Including, $5 million for the Agricultural surplus System Program.",Legislation
Community/Human Services,Pennsylvania,$30 million to the Department of Human Services for youth development institutions.,Legislation
Community/Human Services,Pennsylvania,$50 million to Community-Based Health Care Centers.,Legislation
Community/Human Services,Pennsylvania,"$720,000 for autism services.",Legislation
Community/Human Services,Pennsylvania,$8 million for legal assistance.,Legislation
Community/Human Services,Pennsylvania,$8 million for ventilator and tracheostomy provides.,Legislation
Community/Human Services,Pennsylvania,Approximately $260 million for a community waiver program for providers of services to individuals with intellectual disabilities and autism.,Legislation
Community/Human Services,Rhode Island,$10.5 million to support child care operations.,State
Community/Human Services,Tennessee,$150 million in Coronavirus Relief Funds will be made available to Tennessee non-profits to assist their ongoing efforts to address the ongoing health and economic impacts of COVID-19.,Governor
Community/Human Services,Utah,$3 million to the Multi-cultural Affairs for outreach and direct services in multicultural communities.,Legislation
Community/Human Services,Utah,"$7.5 million to the Department of Heritage and Arts, COVID-19 Cultural Assistance Grant Program.",Legislation
Community/Human Services,Vermont,"$2 million to AHS for vulnerable populations (Reach-Up, GMSA, recovery residences)",Legislation
Community/Human Services,Vermont,$2.45 million DAIL for financial stability grants to 12 Adult Day providers,Legislation
Community/Human Services,Vermont,"$200,000 to DMH for Pathways VT for peer warm line",Legislation
Community/Human Services,Vermont,$275 million to AHS for Provider Stabilization Program grants,Legislation
Community/Human Services,Vermont,"$4.7 million DCF for VT Foodbank, incl. diaper bank",Legislation
Community/Human Services,Vermont,$5 million to ACCD for Southeastern VT Community Action for food insecurity,Legislation
Community/Human Services,Vermont,"$50,000 AoA Director of Racial Equity for training in equity and inclusion",Legislation
Community/Human Services,Vermont,"$700,00 to AHS for New Americans and refugees",Legislation
Community/Human Services,Vermont,"$742,500 for CCVC - various, domestic and sexual violence, forensic nursing, etc.",Legislation
Community/Human Services,Virginia,$1.2 million to the Department of Agriculture and Consumer Services Food security - Agriculture surplus & emergency food,State
Community/Human Services,Virginia,$16.6 million to the Department of Social Services- Increase local capacity to provide care for school-age children,State
Community/Human Services,Virginia,$60 million to the Department of Social Services- Childcare Provider Stabilization Funds,State
Community/Human Services,Virginia,"$650,000 to the Department of Social Services -Food security - Expand emergency food supply package",State
Community/Human Services,Virginia,$7 million to the Department of Social Services- Virginia Federation of Food Banks - $1.0 million per region,State
Community/Human Services,Washington,"$13.9 million for TANF extension and sanction reduction, Disaster Cash Assistance Program, Food Assistance Program.",State
Community/Human Services,Washington,"$15.2 million for the purpose of this allocation is to increase the capacity of the state's Emergency Food Assistance Program and to purchase food, PPE and supplies for distribution to non-profit food banks and food pantries.",Governor
Community/Human Services,Washington,"$360,000 to translate COVID-19 documents into 37 languages for 40 state agencies.",State
Community/Human Services,Washington,"$40 million for the COVID-19 Immigrant Relief Fund to assist Washington workers who miss work due to COVID-19, but are unable to access federal stimulus programs and other social supports due to their immigration status. While the fund is operational, eligible recipients will receive $1,000, with a limit of $3,000 per household.",State
Community/Human Services,Washington,"$40 million to the Department of Social and Health Services to create the COVID-19 Immigrant Relief Fund, in order to assist Washington residents who are unable to access federal stimulus programs due to their immigration status.",State
Community/Human Services,Washington,"$44.5 million to the Department of Children, Youth and Families to provide one-time grants to licensed child care providers and Family, Friend and Neighbor providers for rent, utilities, personnel, food and supplies; to maintain Early Childhood Education and Assistance Program support services for July and August; and for the policy changes in the Working Connections Child Care program to respond to the COVID-19 pandemic: waiver of the parent co-pay, automatic reauthorization from part-day to full-day care for school-age children, and changes to reauthorization requirements.",State
Community/Human Services,Washington,$51 million to purchase food and food distribution supplies for food banks and other non-profit organizations.,State
Community/Human Services,West Virginia,$2.73 million to support the 911 network in Hancock County.,Governor
Community/Human Services,Wisconsin,"$10 million for the COVID-19 Out-of-School Support Grant Program aimed at assisting Wisconsin organizations who are providing care to school-aged kids during the pandemic. The program provides eligible organizations grant awards to cover pandemic-related impacts such as lost revenue, increased staffing costs, cleaning and sanitization, and additional costs to ensure high-quality programming otherwise impacted by COVID-19.",Governor
Community/Human Services,Wisconsin,"$110 million for long-term, home and community based services, and emergency medical services.",State
Community/Human Services,Wisconsin,$30 million for supplemental child care grants.,State
Community/Human Services,Wisconsin,$5 million for cultural organization grants.,State
Community/Human Services,Wisconsin,$50 million in funding for an additional round of Child Care Counts payments for early care and education.,Governor
Corrections/Courts/Judiciary,Alabama,$10 million to courts.,State
Corrections/Courts/Judiciary,Alabama,$79 million for corrections.,State
Corrections/Courts/Judiciary,Alaska,$3.2 million Judiciary Technology Needs & Safety.,State
Corrections/Courts/Judiciary,Alaska,"$578,155 Judiciary COVID'ê19 Commodities & Payroll Reimbursement.",State
Corrections/Courts/Judiciary,Alaska,DOC $15.2 million FY21 Supplemental COVID'ê19 Costs.,State
Corrections/Courts/Judiciary,Arkansas,"$174,552 to the Department of Corrections in a request for reimbursement of pre-approved items: Necessary medical and public health expenses including COVID-19 testing, establishment of temporary medical facilities, emergency food costs and quarantine expenses.",State
Corrections/Courts/Judiciary,Arkansas,$2.3 million to the Department of Corrections for Hazard Pay for Correctional Facility Workers.,State
Corrections/Courts/Judiciary,Arkansas,"$206,400 to the Department of Corrections for Hazard Pay for Wellpath Direct Care Workers.",State
Corrections/Courts/Judiciary,Arkansas,"$384,998 to the Department of Correction in a request to purchase necessary medical and public health items including costs of providing COVID-19 testing, establishment of temporary medical facilities, emergency food costs, sanitation and quarantine expenses.",State
Corrections/Courts/Judiciary,Colorado,"$8 million to the Colorado Department of Corrections (DOC) for expenditures to comply with public health measures pertaining to state prisons, including sanitation and effectively implementing social distancing measures.",State
Corrections/Courts/Judiciary,Florida,$1.3 million to the Department of Legal Affairs.,State
Corrections/Courts/Judiciary,Florida,"$311,328 to the Florida Commission on Offender Review",State
Corrections/Courts/Judiciary,Florida,$39.2 million to the Department of Law Enforcement.,State
Corrections/Courts/Judiciary,Florida,$53.9 million to the Department of Juvenile Justice.,State
Corrections/Courts/Judiciary,Florida,$912.2 million to the Department of Corrections.,State
Corrections/Courts/Judiciary,Georgia,$2.5 million for the maintenance of state prisons and county jails.,State
Corrections/Courts/Judiciary,Idaho,$1.2 million to the Judicial Branch.,Governor
Corrections/Courts/Judiciary,Idaho,$16.2 million to the Idaho Department of Corrections for public safety initiatives.,Governor
Corrections/Courts/Judiciary,Idaho,$2.6 million to the Department of Juvenile Corrections to ensure the facility is up to standards necessary to address the COVID-19 pandemic.,Governor
Corrections/Courts/Judiciary,Minnesota,$2.1 million for Senior Judge CRF Request.,State
Corrections/Courts/Judiciary,Minnesota,$3.5 million for Civil Legal Aid's Emergency Response to Serve Minnesotans During COVID-19,State
Corrections/Courts/Judiciary,Minnesota,$4.38 million for corrections COVID-19 Request #3.,State
Corrections/Courts/Judiciary,Minnesota,$5.2 million for the Judicial Branch CARES Act Funding Request.,State
Corrections/Courts/Judiciary,Minnesota,$5.5 million for Department of Corrections COVID-19 Request/CRF 2.,State
Corrections/Courts/Judiciary,Minnesota,"$518,000 for the judicial branch operating expenses including communication and enforcement of public health orders, public safety measures, and improving telework capabilities.",State
Corrections/Courts/Judiciary,Minnesota,"$9 million to the Department of Corrections for testing, purchasing sanitization supplies and PPE, payroll expenses, facilitating distance learning, improving telework capabilities, and maintaining social distancing measures in state prisons and county jails.",State
Corrections/Courts/Judiciary,Mississippi,$2.5 million for courts and judiciary.,Media
Corrections/Courts/Judiciary,Mississippi,$20 million for corrections.,Media
Corrections/Courts/Judiciary,New Hampshire,$2.5 million to the New Hampshire Access to Justice fund.,Governor
Corrections/Courts/Judiciary,New Jersey,$11 million to the Department of Corrections for COVID-19 related costs at county jails.,State
Corrections/Courts/Judiciary,New Jersey,$2 million to judiciary operation.,State
Corrections/Courts/Judiciary,New York,"Hand Sanitizer/PPE Production by CorCraft, the state's prison industry: $7 million",Media
Corrections/Courts/Judiciary,North Dakota,$5.5 million to the department of corrections for additional costs related to COVID-19.,State
Corrections/Courts/Judiciary,North Dakota,$6.1 million to cover payroll costs for Department of Corrections and Rehabilitation correctional officers and medical staff who have been substantially dedicated to COVID-19 response and mitigation.,State
Corrections/Courts/Judiciary,Ohio,"$75 million to the Department of Rehabilitation and Correction to expand testing to employees and contractors. Due to the nature of prison shift operations and limited medical staff resources, the new testing program will predominately be done on-site, without sending staff to hospitals for collection. This will minimize staff scheduling disruption, improve COVID-19 monitoring, and the speed of contact-tracing. This will minimize staff scheduling disruption, improve COVID-19 monitoring, and the speed of contact-tracing.",Other
Corrections/Courts/Judiciary,Pennsylvania,$968 million for state correctional institutions.,Legislation
Corrections/Courts/Judiciary,Texas,Funds for legal aid providers and pro bono lawyers for eviction prevention. See Housing Assistance.,Governor
Corrections/Courts/Judiciary,Vermont,$2.6 million for the COVID-19 impacts to the judiciary.,Legislation
Corrections/Courts/Judiciary,Vermont,"$300,000 AHS subgrant to VT Legal Aid. Up to 50% for electronic filing fees.",Legislation
Corrections/Courts/Judiciary,Vermont,"$4.9 million for judiciary remote operations, hazard pay, and clear up case backlog.",Legislation
Corrections/Courts/Judiciary,Vermont,"$600,000 Department of Corrections for community supervision, diversion and community justice programs.",Legislation
Corrections/Courts/Judiciary,Vermont,"$753,000 ODG - COVID impacts",Legislation
Corrections/Courts/Judiciary,Vermont,Nearly $2 million to state's Attorneys - COVID impacts,Legislation
Corrections/Courts/Judiciary,Washington,"$15 million for trial court COVID-19 expenses, including court staff, judges pro tempore, jury selection, court technology and protective personal equipment.",State
Corrections/Courts/Judiciary,Washington,"$2.3 million to the Office Civil Legal Aid to enable the office to provide a comprehensive response to the problems and corresponding civil legal needs of families and individuals in four core areas of primary need during the COVID-19 pandemic: employment, shelter preservation, individual and family safety and security, and economic security.",State
Corrections/Courts/Judiciary,Washington,"$3 million to the Department of Corrections to assist with expenditures beyond appropriated levels for coronavirus response activities, including equipment and supplies, staff positions and overtime costs, and other coronavirus response resources and supports.",State
Corrections/Courts/Judiciary,Washington,"$500,000 to address the backlog of cases related to the eviction moratorium.",State
Corrections/Courts/Judiciary,Wyoming,"Approximately $271,000 for corrections facility.",State
Emergency Management/Disaster Response,Alaska,$5 million for FEMA Match Requirement for COVID Disaster.,State
Emergency Management/Disaster Response,Alaska,$58.2 million for DOA Pandemic Preparedness Plan Phases 1-4,State
Emergency Management/Disaster Response,Alaska,"DOC $2.3 million Prevention, Mitigation, and Response Efforts.",State
Emergency Management/Disaster Response,Arizona,$150 million available for advancements against Public Assistance reimbursements from FEMA (AZ Express Pay Program).,State
Emergency Management/Disaster Response,Arkansas,$3.7 million to the Department of Human Services for Continuity of Care Emergency Response Reimbursements.,State
Emergency Management/Disaster Response,California,$698.8 million for public health and safety employees.,State
Emergency Management/Disaster Response,Colorado,$205 million to the Disaster Emergency Fund to respond to the COVID-19 emergency.,State
Emergency Management/Disaster Response,Delaware,"$67.8 million to the Delaware Emergency Management Agency for medical, equipment and testing supplies.",State
Emergency Management/Disaster Response,Delaware,"$866,497 for volunteer fire company assistance.",State
Emergency Management/Disaster Response,Florida,$195.4 million to the Division of Emergency Management.,State
Emergency Management/Disaster Response,Georgia,"$12,6060 for emergency medical transportation.",State
Emergency Management/Disaster Response,Georgia,$90.7 million for emergency medical response expenses.,State
