GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11000,District of Columbia,12,    Manufacturing,281.5,294.7,227.9,236.5,207.7,229.3,247.5,256.4,255.7,242.6,249.7,281.4,(D)
12000,Florida,1,All industry total,775039.5,772021.3,778545,794842.1,817233.5,852242.4,881539.2,912687.4,941626.7,965672.5,950164.4,1029575.6,1070930.2
12000,Florida,12,    Manufacturing,38274.7,37908.8,36850.8,39904.2,42285.5,46440.3,47768.7,49337.8,50528.4,52751.3,52328.6,56186.2,57238.8
13000,Georgia,1,All industry total,433727.2,441626.7,447764.7,454908.9,470009.7,489182.3,506816.2,523805.3,538604.6,557364.4,537615.8,575292.2,591257.3
13000,Georgia,12,    Manufacturing,47603.7,49431,48492.8,49106.5,50487.8,51291,53505.8,55095.1,54262.9,54090.4,50972.6,55939.7,57146.9
15000,Hawaii,1,All industry total,69628.1,70646.6,71905.3,73063.2,73512.4,75869.5,77303.9,78947.4,79845.3,79213.4,70109.4,74547.2,75418.3
15000,Hawaii,12,    Manufacturing,1540.4,1450.3,1432.6,1595.3,1727.4,1729.7,1824.1,1783.5,1782.5,1565.4,1433.8,1551.1,(D)
16000,Idaho,1,All industry total,58281.8,58226.2,58323.9,60631.2,62454,63081.2,65479,66941,70857.3,74162.6,75145.5,80093.8,84002.9
16000,Idaho,12,    Manufacturing,6720.1,6880.8,7003.2,6907,7058.6,6785.3,6997.3,7257.5,8133,8414.7,8269.2,8655.1,8891.1
17000,Illinois,1,All industry total,698179.6,711283.4,726399.1,726125,741194,751754.9,749333.5,753027,771695.5,775998.1,734385,780060.8,797969.1
17000,Illinois,12,    Manufacturing,93121,98931.8,103715.2,97066.8,99689.5,96937.3,95568,97553.9,104205.6,103769.8,96644.4,103260.7,107075.4
18000,Indiana,1,All industry total,297517.3,299064.5,300513.9,307279.1,316783.1,313751.2,319601.5,324997.6,336327.1,337902.2,327277.9,346240.9,352955.9
18000,Indiana,12,    Manufacturing,88264.2,86596.3,82808,88099.5,91339.7,85776.4,87679.1,88055.8,92270.9,92122.1,87265.3,95214.7,95665.2
19000,Iowa,1,All industry total,150148.4,152435.2,158538.4,158480.8,166619.2,171126.5,170389.1,170887.5,173547.7,173722,170957.4,179753,177090
19000,Iowa,12,    Manufacturing,28059.6,27256.3,29568.7,28896.3,31775.5,31522.6,27608.1,29277,30745.5,30662.7,30591,32669.8,33561.7
20000,Kansas,1,All industry total,135723.2,139579.4,141818.2,141723.4,145344.1,148810.5,153695.3,155514.7,158734.4,159826.2,158348.3,162290.9,164939.3
20000,Kansas,12,    Manufacturing,21532.3,23522.9,23105.3,19556.1,21732.1,22853.2,23795.5,24654.1,26159.6,26394.4,25120.8,26389.1,27478
21000,Kentucky,1,All industry total,173780.1,175745.3,178143.7,181505.9,181471.8,182916,184115,185920.6,187926.6,192971.9,188396.3,197818.3,201375.3
21000,Kentucky,12,    Manufacturing,29857.4,30027.6,32817.5,34572.7,34032.4,33297.2,33041.2,34623.7,34521.8,37058.2,35394.1,38397.6,38900.8
22000,Louisiana,1,All industry total,246836.2,234975.7,235384.7,228452.8,235355.1,233016,228428.5,233351.7,237298.3,237044.6,218421.7,221152.7,217155.8
22000,Louisiana,12,    Manufacturing,65782.8,53842.8,52355.4,46675.9,52568.3,49325.6,46946.8,51397.2,52465.7,52407.7,40553.4,39032.9,39475.9
23000,Maine,1,All industry total,54305,53789,53679.7,53239.1,54037.9,54425.8,55565.4,56469.4,58099.9,59553.4,59881.4,63594.5,64765.5
23000,Maine,12,    Manufacturing,5809.3,5568.7,5446.8,5255.2,5290.6,5052.3,5303.2,5663.5,5804.6,6063,6151.6,6630.5,6643.6
24000,Maryland,1,All industry total,325369.7,332437.2,332523.5,334268.9,339604.6,348151.8,360082,366204.4,367977.4,368056.4,352384,368571.1,368679.8
24000,Maryland,12,    Manufacturing,20688.3,20304.1,18204.7,19268,19073.8,19053.6,20375.1,20822.5,21599.2,22669,22714.3,23230,23109.1
25000,Massachusetts,1,All industry total,425792.7,434494.5,442916.9,444874,451568.9,468060.9,475349,482808.4,501541.5,514170.8,500001,533102.1,543871.7
25000,Massachusetts,12,    Manufacturing,45868.5,46217,46677.4,46205.3,48238,49447.4,48611.5,48343.1,51768.9,50603.7,49201.6,51577.2,50322.6
26000,Michigan,1,All industry total,404216.9,414834.4,422691.2,428737.6,434313.2,443831.2,452325.2,457614,466559.4,467107,448455.3,481778,490318.1
26000,Michigan,12,    Manufacturing,68782.6,75706.3,78323.9,83285.6,83025.6,82660.1,84162.7,85831.2,88145.7,86510.4,81727.5,95452.6,97767.8
27000,Minnesota,1,All industry total,287140.1,293783.2,298328.3,305486.4,314091.3,318913.2,324030.3,327483.2,336892.2,340557.1,328489.5,346204.3,350314.5
27000,Minnesota,12,    Manufacturing,40403.6,42480,42511,44212.9,47259.7,47248.7,47390.3,46873.3,49070.5,48084.8,45523.9,49156.5,48888
28000,Mississippi,1,All industry total,98601.1,98515.8,100448.4,100331.2,100283.6,100482.4,101255.3,101245.3,100872.7,100982.8,100526.9,104353.5,104535.3
28000,Mississippi,12,    Manufacturing,15410.1,15339.6,16473.3,15154.2,15767.6,15695.4,16044.5,16265.6,15880.9,15980.7,15898.1,17459.5,17719.9
29000,Missouri,1,All industry total,270732.9,268533.8,271535.1,274599.3,276080.7,279020.8,279109.2,281253.3,284540.3,290619.5,282754.1,295687.3,300676.3
29000,Missouri,12,    Manufacturing,33631.4,32562,34955.5,34926.7,35089.6,36076.4,33642.8,33761.5,33144.7,35038.8,33835.6,36434.5,37970.4
30000,Montana,1,All industry total,40793.7,41875.7,42340.9,42968.2,43829.1,45395.7,44436.8,45974.3,46584.1,46886.2,46750.4,48976.2,49752.2
30000,Montana,12,    Manufacturing,2527.7,2766.8,2617.8,2773.5,3220.7,3687.3,3024.9,4170.1,4125,3346,2785.7,3173.9,3280.6
31000,Nebraska,1,All industry total,97466.1,102587.4,102725.9,104680,107936.8,111401.5,112611.5,114143.9,116792.9,118603.7,118141.5,122136.1,123539.6
31000,Nebraska,12,    Manufacturing,11493.5,12710.3,12777.3,12945.7,12363.5,11461.4,11037.3,10957.6,12271.7,13038.8,13218.7,14460.5,14503.4
32000,Nevada,1,All industry total,129828.4,130697.9,129312.9,129720.9,130897.4,136347.4,140081.2,145485.5,150448,156959.1,146492.5,159567.3,165455.1
32000,Nevada,12,    Manufacturing,5319.3,5452.8,6043.3,6140.5,6058.7,5661.7,5845,6481.3,7323.1,7575.5,7423.9,8440.3,8850.8
33000,New Hampshire,1,All industry total,67125.8,67559.1,68498.1,69080.3,70213.7,72042.4,73572.2,73972.7,75433,76819.1,75927.6,82986.3,83004.4
33000,New Hampshire,12,    Manufacturing,7151.8,7485.9,7282.2,7908.8,7296.7,8196.7,8575.4,8132.2,8835.3,8863,8740.7,9205.8,9755.1
34000,New Jersey,1,All industry total,513917.9,507604,517195.9,523725.8,522166.4,529953.7,535055.3,537578.5,550059.5,559648.8,535323.7,566893.2,581704.2
34000,New Jersey,12,    Manufacturing,52240.6,46656.9,43527,43524.6,45502,44002.6,48164.9,46268.1,51709.5,53894.3,52696.2,53263.8,52201
35000,New Mexico,1,All industry total,87610.3,87592.9,87925.2,86856.6,88991.2,89701.3,89151.4,88962.9,90933.6,94897.4,92496.3,93625.1,94663.4
35000,New Mexico,12,    Manufacturing,4475.7,3845.2,3770.2,3319.4,3703.7,4150.4,4070.5,3941.5,3983,4484.5,4090.9,4134.2,4243.7
36000,New York,1,All industry total,1277466.8,1279527.1,1328233.5,1329376.3,1353410.4,1373643,1403230.5,1419112.1,1458382.4,1500833.4,1432507,1514779.2,1563043.7
36000,New York,12,    Manufacturing,72915.7,66847.4,64102.3,64116.3,65393.8,67442.4,65613.7,65539.1,64071.1,68783.6,62537.6,65992.3,65716.4
37000,North Carolina,1,All industry total,437836.5,443288.7,445095.3,452056.2,462253.1,475096.6,482968.9,495221.3,501564.9,512834.8,506658.1,541933.8,559510.1
37000,North Carolina,12,    Manufacturing,91367.6,91800.8,84454.5,90546.6,87725.8,90702.1,88355.9,86875.1,87196.4,86829.8,84039.1,88721,85961.1
38000,North Dakota,1,All industry total,37917.2,42340.8,51832.6,52892.4,57790,56542.4,52974.6,54187.1,55914.2,56385.4,53653.6,53803.6,53125.4
38000,North Dakota,12,    Manufacturing,2692.6,2866.6,3249.6,3330.1,3497.2,3523.4,3168.9,3244.2,3245.6,3501.4,3501,3842.1,3813
39000,Ohio,1,All industry total,523979.4,541180.2,545740.1,556210.5,574177.9,578852.4,583946.4,593636,597925.5,613251.4,594143.6,629287,638910
39000,Ohio,12,    Manufacturing,89216.4,95473.1,92057.9,94486.9,103836.7,100035.5,99971.9,101901.7,102315.2,103747.3,97409.5,104658.9,105656.5
40000,Oklahoma,1,All industry total,160564.2,166327.2,174874.4,177698.9,189360,197071.9,193025.1,194017.2,197453.2,201161.5,192485.5,193230,191388.1
40000,Oklahoma,12,    Manufacturing,15748.4,16834.2,17816.1,17103.1,18002.1,17689.9,15853.6,17042,18783.7,19314.8,16911.8,17362.7,16857.7
41000,Oregon,1,All industry total,169234,173831.7,174611,175933.8,181220.6,189946.5,198079.3,205524,214902.5,219588,215743.6,227979.1,234806.2
41000,Oregon,12,    Manufacturing,25466.8,28038.5,26783.7,27352.4,27774.7,29394.4,30166.7,30956.5,33254,32611.3,33687.7,33587.3,33440.7
42000,Pennsylvania,1,All industry total,627726.3,637114,647925.9,655929.2,669643.1,682466.1,688359.4,694866.6,704027.8,715060.7,680957.4,710973.1,726035.6
42000,Pennsylvania,12,    Manufacturing,77902,76584.5,75680.2,79891.2,85053,83863,83236.7,86295.9,85479.1,89729.4,86465.9,89543.8,90203.9
44000,Rhode Island,1,All industry total,51332.8,51279.6,51583,51910.8,52293.4,52819.1,52902.6,52691.8,52553.3,53411.4,51516.1,54606,55413.3
44000,Rhode Island,12,    Manufacturing,4183.4,4085.5,4024.3,4393.1,4235.5,4637.5,4664.2,4548.9,4617.5,4477.1,4363.6,4729,4714.2
45000,South Carolina,1,All industry total,172131,176083.2,177618.1,180881.6,185986.9,192019.9,198005.7,202512.4,207101.2,213237.8,208234.1,221045,226420.1
45000,South Carolina,12,    Manufacturing,27570,29206.6,29030,28963.1,29859.6,31704.8,32362.2,31438.8,32036.9,34094.3,31549.5,34748.1,34954.8
46000,South Dakota,1,All industry total,40369.6,43049.5,43901.5,44147.4,44846.5,45664.5,46076,45775.8,46300.3,46650.5,47402.4,49557.9,49809.2
46000,South Dakota,12,    Manufacturing,3431.5,3932.2,3844.1,3886.5,3993.6,4010.3,4177.9,4200.6,4112,3794,3904.3,4246.2,4175.3
47000,Tennessee,1,All industry total,268449.8,276898.3,286341.5,289794.6,294130.1,304484.2,310143.2,318963.9,323541.6,331176.6,323454,352461.2,367776
47000,Tennessee,12,    Manufacturing,39587.3,41323.5,43617.8,45548.1,45501.8,46712.5,48078.1,51908.9,49973.6,50932.6,49628.1,55599.4,58421.9
48000,Texas,1,All industry total,1309962.4,1353600.4,1421180.1,1484700.1,1529617.1,1605901.7,1619954.2,1659453.3,1728304,1779781.4,1747562,1815063.6,1876327.8
48000,Texas,12,    Manufacturing,206540.9,214847.4,207319.6,230117.8,206708.1,213089.5,208101.1,218502.9,237164.5,225683.3,205113.2,214678.3,221113.6
49000,Utah,1,All industry total,123902.2,127992.5,129512.5,133112.9,136993.7,141720.5,147962.3,154758.3,164622.1,172038.4,174954.7,186910,191965.2
49000,Utah,12,    Manufacturing,18819,18697.1,16118.4,16664.5,16424.5,17192.6,16933.5,18385.4,20193.9,21571.1,21386.3,23629.8,23703.5
50000,Vermont,1,All industry total,28403.7,29013.5,29241.3,28681.5,28912.2,29119,29408.1,29490.6,29602.2,29940.7,29064.6,30546.8,31395.3
50000,Vermont,12,    Manufacturing,3118.9,3276.9,3397.6,2716,2663.1,2801.5,2755.2,2791.7,2864.1,2866.3,2930,3080.3,3024.7
51000,Virginia,1,All industry total,441242.4,444288,445973.6,449063.8,447678.1,455162.4,459965.8,467362,477915.2,489199.1,478909.3,505351,512946.3
51000,Virginia,12,    Manufacturing,42263.9,41660.4,40359.9,40740.1,38441.1,39156.1,38227.1,38443.9,40407.7,40968.3,39580.6,42568.3,42284.1
53000,Washington,1,All industry total,380989.5,387745.2,400530.6,410873.9,424467.6,441952.1,458263.8,482007,515029.1,533150.4,538856.1,575129,582171.6
53000,Washington,12,    Manufacturing,55021.4,55383.6,57780.5,59438.3,61029.9,64361.3,57454.9,57115.9,58460.3,59773.4,56117.7,56652.8,57303.8
54000,West Virginia,1,All industry total,69153.5,70361.3,70322.2,70550.1,70532.5,70663,70011.4,71425.6,73170.4,72633.4,70444.2,71343.2,71652.4
54000,West Virginia,12,    Manufacturing,6913.4,6961.4,6840.1,7218.3,6950.5,6603.7,6852.2,7256.5,7243.7,6859.6,6746.2,7169.2,6972.4
55000,Wisconsin,1,All industry total,266830.8,272813.2,277107.1,278015,283981.1,289077,291920.3,291922.7,299062.6,303669,293104.9,306467.4,311702.1
55000,Wisconsin,12,    Manufacturing,49795.8,52274.9,54123.2,54834.3,54853,54495.5,54019.8,52858.5,53926.2,56157.5,53025.7,57945.8,56691.1
56000,Wyoming,1,All industry total,40056.6,39767.9,38855.4,38849.6,39559.4,40418.2,38188.7,37521.6,38080.1,38446.6,36268.6,36400,36346.1
56000,Wyoming,12,    Manufacturing,2271.3,2218.1,2512.7,2035.7,1879.8,2580.6,2130.5,2468.4,2762,3225.3,2661.2,2770.2,3054.2
91000,New England,1,All industry total,871286.6,874676.4,886830.9,883832.2,892794.1,919157.9,930060.1,942450,966286.9,985447.3,951601.6,1011337.8,1030929.7
91000,New England,12,    Manufacturing,96766.4,96029.7,95904.9,96239.8,96084.2,98134.4,95529.2,96397.3,103805.6,104270.7,99781,106246.8,105949.4
92000,Mideast,1,All industry total,2915024.2,2931297.8,3000390.3,3015840.4,3064347.2,3117788.1,3169514.5,3199014.6,3266141.8,3333588.9,3187181.9,3354244.2,3436608.1
92000,Mideast,12,    Manufacturing,228393.9,215035.2,205580.9,210989.2,219245.9,219411.3,221588.3,223662.1,227720.6,240558.5,229561,237272.3,(D)
93000,Great Lakes,1,All industry total,2190695.2,2239179.7,2272451.4,2296352.8,2350412.9,2377289.8,2397149.9,2421178.8,2471548.3,2497886.6,2397205.8,2543642.6,2591533.3
93000,Great Lakes,12,    Manufacturing,389133.1,408998.5,411028.2,417781,432645.5,419908,421474.1,426229.9,440873.3,442317,416107.7,456601,462819
94000,Plains,1,All industry total,1019543.5,1042277.3,1068680,1082005.4,1112700.8,1131523.3,1139110.9,1149399,1172803.6,1186500.2,1159976.8,1209836.2,1219712.2
94000,Plains,12,    Manufacturing,141281.3,145335.4,150011.4,147771.6,155681,156629.7,150492.8,152701.1,158422.8,160286.6,155625.7,167144.7,170362.8
95000,Southeast,1,All industry total,3406994.9,3429358.6,3463374.9,3504567.5,3566658.6,3659519.8,3731745.8,3825002.2,3907658.3,3995899.3,3903180.1,4158107.5,4268053.3
95000,Southeast,12,    Manufacturing,448364.8,445937.8,438601.6,448955,453281.7,460183.3,462048.6,473661.2,477285.4,485110,460013.9,493224,496523.7
96000,Southwest,1,All industry total,1818423.8,1873580.3,1955419.7,2022737.7,2084949.4,2175132.2,2194018.1,2247197.5,2332745.5,2402682.8,2362143.6,2452810.4,2521768.5
96000,Southwest,12,    Manufacturing,249090.1,259060.2,253411.3,272583.5,252339.8,260229.5,254067.6,268028.2,291179.2,282721.7,259504,272504.7,277864.8
97000,Rocky Mountain,1,All industry total,530904,539570,545855.9,561827.6,581511.1,603077.3,615453,635757.1,663718.7,690940.1,687771.7,727704.9,749335
97000,Rocky Mountain,12,    Manufacturing,51526,51828.7,49120.8,49636.2,50741.6,52757,51488.3,54322.8,58385.9,60939.7,59906.4,64904.2,64931.9
98000,Far West,1,All industry total,2840235.3,2881974.3,2947739.8,3024136,3120257.1,3256304.5,3356107.1,3504871.9,3658195.2,3772219.3,3689413.4,3963354,3993761.8
98000,Far West,12,    Manufacturing,333339.2,324185.8,331000,347893.8,363365.9,379416,383352.6,412699.7,440064,456567.3,451140,479055.5,(D)
,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,
"1/ Real GDP is in millions of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP.",,,,,,,,,,,,,,,,
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.,,,,,,,,,,,,,,,,
"  Last updated: March 31, 2023-- new statistics for 2022.",,,,,,,,,,,,,,,,
