GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1000,Alabama,24,        Miscellaneous manufacturing,525,452.2,532.9,468.2,498.7,502.6,535.6,513.9,549.1,558.2,570.4,663.4
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,2089.3,2018.5,2018.6,2194.2,2140.4,2089.2,2086,2332.9,2373.8,2461,2402.9,2564.5
1000,Alabama,27,        Textile mills and textile product mills,552.8,449.5,587.3,706.9,687,530.9,490.2,555.5,549.6,499.5,602.7,660
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",271.7,233.6,250.1,240.3,185.7,169.9,96.2,83.5,79,78.9,73.2,81.3
1000,Alabama,29,        Paper manufacturing,2834,2564.4,2802,2580.8,2746.2,2539.7,2449.3,2513.2,2686.5,2343.8,2408.5,2303.3
1000,Alabama,30,        Printing and related support activities,159.9,155.2,186.1,226.2,248.6,249.5,199,205.1,192,200,209.1,211.9
1000,Alabama,31,        Petroleum and coal products manufacturing,1569.6,4280.5,2615.6,2860.2,1933.7,1617.9,2276.3,2324.2,2620.5,2425.5,1711.6,1988.6
1000,Alabama,32,        Chemical manufacturing,3812.6,3433.8,3055.2,3211.8,3519.3,2793.2,3131.2,3038.1,2740.6,2790.1,2698.4,2669.4
1000,Alabama,33,        Plastics and rubber products manufacturing,1243.4,1257.6,1215.7,1338.7,1342.5,1601.2,1695.7,1465.5,1605.7,1532.5,1256.1,1204.3
2000,Alaska,2,  Private industries,44957.9,45292.5,48039.3,45543.7,44406.6,45235.5,44496,44545.1,43443.6,43747.6,41282.7,41364.6
2000,Alaska,12,    Manufacturing,1322.5,1043.4,992,1354.8,1628.7,1881.1,1762.7,1915.6,1384.2,1477.6,1440.6,1526
2000,Alaska,14,        Wood product manufacturing,12.6,9.1,34.7,31.3,50.2,61.7,47.1,35.6,28.7,34,32,22.7
2000,Alaska,15,        Nonmetallic mineral product manufacturing,49.8,39.4,37.8,33.1,33.1,41.5,49.8,39.9,28.4,22,22.1,21.5
2000,Alaska,16,        Primary metal manufacturing,3.5,3.7,2.5,2.1,2.3,2.9,2.6,1.7,1.5,1.8,3.2,2.3
2000,Alaska,17,        Fabricated metal product manufacturing,37.4,47.2,57.4,59.1,45.4,39,33.1,35.4,40.1,40.1,30.8,31.8
2000,Alaska,18,        Machinery manufacturing,12.1,10.8,8.7,10,9.9,13.6,10.6,12.2,9.3,9.6,9.8,13.2
2000,Alaska,19,        Computer and electronic product manufacturing,13.8,13.6,15.4,18.5,15.4,13.5,15,15.1,19.6,23.5,22.4,23.8
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",3,2,1.6,2.5,1.8,1.8,1.6,1.5,1.5,1.5,1.4,1.4
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3.4,3,2.6,3.2,3.2,3.1,3.5,3.6,3.5,5,4.7,4.5
2000,Alaska,22,        Other transportation equipment manufacturing,24.3,21.2,23.9,24.8,24.3,32.9,36.8,39,39.9,39.8,38.8,38.8
2000,Alaska,23,        Furniture and related product manufacturing,8,8.2,7.8,10.2,10.7,12.9,11.6,9.4,8.7,8.7,8.6,9.5
2000,Alaska,24,        Miscellaneous manufacturing,10.2,9,8,10.1,10,9.1,8.5,9.3,10.3,9.8,8.2,10.1
2000,Alaska,26,        Food and beverage and tobacco product manufacturing,600.5,536.2,530.5,656,639.4,831,724.1,747.1,684,700.3,644.7,724.8
2000,Alaska,27,        Textile mills and textile product mills,4.1,3.8,4.5,4.9,5.4,5.1,4.8,4.6,4.1,2,1.7,1.8
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",0.3,0.2,0.4,0.5,0.6,0.8,1,0.9,0.8,0.8,1,1.5
2000,Alaska,29,        Paper manufacturing,1.1,1.1,0.6,0.7,0.6,0.6,0.7,0.4,0.4,0.5,0.5,0.6
2000,Alaska,30,        Printing and related support activities,21.5,23.4,24.5,25.3,21.6,20.9,20.9,20.1,20.9,19.7,14.7,15.1
2000,Alaska,31,        Petroleum and coal products manufacturing,533.8,288.2,210.4,458,804.7,816.2,857.7,1095.4,486.3,589.5,688.3,686.9
2000,Alaska,32,        Chemical manufacturing,9.1,14,11.4,10.7,6.4,7.1,6.5,10.5,10.3,10.6,10.4,10.3
2000,Alaska,33,        Plastics and rubber products manufacturing,14,10.4,9.6,9.1,9.6,8.5,9,7.1,6.2,5.2,4.8,5
4000,Arizona,2,  Private industries,222525,228473.3,233709.9,236190.7,240652.3,246511.7,254610.6,265894.4,277404.2,287448.9,289182.7,310040.3
4000,Arizona,12,    Manufacturing,22321.4,23561.2,24505.2,22112.4,23810.7,25185.7,25919.7,28333.1,31005.2,32936,32992.2,35890.4
4000,Arizona,14,        Wood product manufacturing,165.7,180.3,172.5,177.5,204.8,206.4,234,226.6,209.2,260.6,241.2,261.2
4000,Arizona,15,        Nonmetallic mineral product manufacturing,580.6,545.1,602.1,626.5,715.6,616,670.8,765.3,801.3,820.9,887.2,958.4
4000,Arizona,16,        Primary metal manufacturing,482.2,878.9,829.4,951.5,1007.9,1138.2,935.7,915.9,940,1144,1485.9,1385.6
4000,Arizona,17,        Fabricated metal product manufacturing,1249.1,1270.9,1392.1,1382,1459.6,1590.5,1603.3,1672.3,1739.7,1931,1994,2775.9
4000,Arizona,18,        Machinery manufacturing,823.9,789,722.3,870.9,760.3,722.1,646.4,784.8,948.8,934.3,1039.4,1224.5
4000,Arizona,19,        Computer and electronic product manufacturing,7553.4,8291.7,9035.9,7769.3,8689.3,9703,8974.2,10664,12363.8,12434.9,12566.3,12907.8
4000,Arizona,20,"        Electrical equipment, appliance, and component manufacturing",362.9,300.4,279.7,257.4,271.6,374.8,352.2,569.8,675.5,720.6,624.6,721.5
4000,Arizona,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",220.6,326.4,431.5,413.4,429.9,433.3,569.5,606.7,616.5,675.8,847.8,1026.9
4000,Arizona,22,        Other transportation equipment manufacturing,4836.7,4798.7,5343.4,4485.7,4872.1,4711.9,6009.1,5994.2,6342,6689.4,5906.1,6196.1
4000,Arizona,23,        Furniture and related product manufacturing,291.7,272.5,273,324.2,342.7,368.9,366.5,371.6,418.6,401.7,413,444.5
4000,Arizona,24,        Miscellaneous manufacturing,1204,1334,1313,1401.8,1307.9,1313.2,1284.8,1560,1657.8,1836.6,2076.9,2359
4000,Arizona,26,        Food and beverage and tobacco product manufacturing,1597,1651.6,1540.2,1515.9,1678.5,1681.5,1691.5,1783.9,1786.4,1972.6,2089.7,2376.5
4000,Arizona,27,        Textile mills and textile product mills,85.5,79.7,102.3,92.9,119.9,137.5,122.3,104,90.1,106.6,106.2,112.6
4000,Arizona,28,"        Apparel, leather, and allied product manufacturing",21.9,20.3,18.9,22.2,14.5,21.8,28.7,24.5,25.2,25,22,25.4
4000,Arizona,29,        Paper manufacturing,233.6,235.1,242.2,185.8,181.1,185.6,226.6,215.7,224.1,231.9,270.5,277.3
4000,Arizona,30,        Printing and related support activities,420.9,434.2,423.6,453.9,448.5,472.7,465.8,543.6,558.8,534.7,648.8,687.9
4000,Arizona,31,        Petroleum and coal products manufacturing,168.9,112.7,71.1,100.5,149.2,208.5,196.1,164.1,109.8,129,176.2,304.5
4000,Arizona,32,        Chemical manufacturing,1625.1,1584.2,1168.2,603.1,726.7,823,906.9,787.9,929,1303.1,1153.5,1208.9
4000,Arizona,33,        Plastics and rubber products manufacturing,493.9,473.1,543.6,484.3,457.3,603.2,533.5,572.7,655.5,754.6,550.2,568.2
5000,Arkansas,2,  Private industries,90725.6,92902.5,93561.1,95938.1,97183.4,98131,98520.3,99615.6,101755.5,102736.6,102765.2,108961.6
5000,Arkansas,12,    Manufacturing,15548.8,16161.7,15251.1,16495,17084,16718.7,16655.3,16709,17549.5,17750.1,17526,18665.2
5000,Arkansas,14,        Wood product manufacturing,682.4,721.6,782.6,855,801.2,756,754,802,819.1,695.7,892.1,934.7
5000,Arkansas,15,        Nonmetallic mineral product manufacturing,359.5,309.8,328.7,363.6,384.5,318.7,346.5,327.6,320.4,312.9,301,295.4
5000,Arkansas,16,        Primary metal manufacturing,841.7,1322.9,1758,1619,1548.1,1499.1,1928,1900.6,2327.5,2252,2609.6,2688
5000,Arkansas,17,        Fabricated metal product manufacturing,1946.5,1734,1531.5,1570.8,1679,1648.3,1568.2,1741.4,1682.5,1606.8,1638.2,1856.8
5000,Arkansas,18,        Machinery manufacturing,923.7,1028.9,986.8,1072.6,1020.4,1074.5,1004.4,1171.3,1300.7,1302.4,1303.3,1486
5000,Arkansas,19,        Computer and electronic product manufacturing,300.8,310.9,328.3,347.9,320.5,334.4,335.3,360.2,392.9,338.3,303.6,315.5
5000,Arkansas,20,"        Electrical equipment, appliance, and component manufacturing",806.7,928.7,763.9,662.2,569.3,540.7,467.5,526,566.8,552.8,466,528.9
5000,Arkansas,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",375.5,527.7,395.7,379.1,383.1,437.6,418.7,439.5,443.9,434.1,332.2,459.6
5000,Arkansas,22,        Other transportation equipment manufacturing,455.4,884.9,818.5,862.8,874.5,1161,1056.1,854.8,904.5,940.7,774.9,922.6
5000,Arkansas,23,        Furniture and related product manufacturing,201.3,160.9,149.3,182,232.2,217.8,217.1,259.9,225.4,218.5,175,184.3
5000,Arkansas,24,        Miscellaneous manufacturing,290.7,267.8,189.5,200.5,220.8,187.2,195.5,217.2,259.1,213.7,226.4,249.4
5000,Arkansas,26,        Food and beverage and tobacco product manufacturing,3666.3,3199.6,2793.5,3401.9,3374.5,3416.7,3320.4,3414.7,3789,4238,4038.4,4364.7
5000,Arkansas,27,        Textile mills and textile product mills,62.5,57.3,68.6,59.3,59.6,59.2,75.6,63.5,64.9,48.9,48.9,49.3
5000,Arkansas,28,"        Apparel, leather, and allied product manufacturing",83.3,85,83.4,80.2,60,67.3,70,58.8,54.7,48.5,48.4,56.5
5000,Arkansas,29,        Paper manufacturing,1921,1897.4,1790.8,1708.6,1842.3,1616.9,1820.9,1379.4,1230.7,1311.6,1428.9,1286.3
5000,Arkansas,30,        Printing and related support activities,235.5,256.6,231.9,191,205.2,278.3,287.4,337.8,336.8,330.5,258.2,264.5
5000,Arkansas,31,        Petroleum and coal products manufacturing,553.4,288.9,230,881.5,1554.5,813.1,738.5,690.7,820.7,681.7,394.2,448.4
5000,Arkansas,32,        Chemical manufacturing,873.4,968.7,823.9,954.5,933.8,922.9,841.7,887.6,923.8,1102.6,1061,1049.7
5000,Arkansas,33,        Plastics and rubber products manufacturing,1133.1,1259.1,1196.3,1139.8,1182.9,1341.6,1284.9,1311.9,1224.7,1197.7,1225,1220.8
6000,California,2,  Private industries,1768984.7,1795524,1848525.7,1913243.1,1984384.6,2078722.9,2141495.7,2252054.7,2355991.7,2439857.6,2380051,2586040
6000,California,12,    Manufacturing,244842.8,232799.9,237967.8,252031.7,265210.3,276452,286669.5,315050.1,338590.8,354360.8,351987.1,378510.6
6000,California,14,        Wood product manufacturing,1394.6,1589,1415.4,1518.5,1436.5,1521.2,1674.9,1806.4,1734.6,1831.4,1795.2,1869.4
6000,California,15,        Nonmetallic mineral product manufacturing,3090.5,3040.7,3221.4,3268.2,3428,3381.2,3443.8,3808.1,3907.1,4151.2,3921.6,3973.5
6000,California,16,        Primary metal manufacturing,1679.9,1918.1,2175.7,2234.6,2027.2,2260.8,2544,2480.1,2461.5,2885.2,3021.7,2871.2
6000,California,17,        Fabricated metal product manufacturing,11153.4,11951.9,11822.6,11720.4,12541.5,12334,12148.3,12725.8,12920.3,12507.6,11494.9,11927.6
6000,California,18,        Machinery manufacturing,9310,10997.3,9969.1,11515.9,10710.6,10527.7,10875.5,11261.2,11470.4,11595,11700.1,13524.2
6000,California,19,        Computer and electronic product manufacturing,64677.4,69121,77309.9,80635.5,87683.1,96616.9,104001.5,121078.7,131062,135531.6,148297.4,164748.8
6000,California,20,"        Electrical equipment, appliance, and component manufacturing",3636.5,3577.4,3181.7,3716.7,3540.6,4342,4199.5,4288,5104.4,4915.1,4353.4,4916
6000,California,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",2386.4,3042.1,2171.8,2270.3,2781.8,3536.6,4187.2,5625.4,6381.8,6616.8,7242.6,9474.2
6000,California,22,        Other transportation equipment manufacturing,15608.1,17322.6,13376.6,14472.6,14657.2,16229.9,16601.1,16856.7,18716.6,17007.5,14682.9,16301.1
6000,California,23,        Furniture and related product manufacturing,2073.3,2011.3,1886.4,2130.9,2219.4,2392.1,2385.3,2683.1,2683.6,2758.1,2450,2599.8
6000,California,24,        Miscellaneous manufacturing,14610.9,13962.2,14998.6,14802.1,14341,12572.1,13120.9,13492.5,14369.1,14097.1,13470.5,15666.4
6000,California,26,        Food and beverage and tobacco product manufacturing,22803.1,22478.8,22937.4,23158.6,24163.2,26341,24850,25509.3,25077.1,26363.8,25164,27072.9
6000,California,27,        Textile mills and textile product mills,946.6,793.9,897.4,1103.2,1103.6,1154.6,1104.4,1025.6,1044.4,1046,1067.3,1163.5
6000,California,28,"        Apparel, leather, and allied product manufacturing",3280,3358.9,3406.6,3571.5,3162.5,2901,2999.5,2817.5,2723.5,2792.2,2201.2,2824.1
6000,California,29,        Paper manufacturing,2854.2,2869.5,2432.7,2449.2,2404.5,2648.2,2643.6,2576.9,2548.2,2583.6,2900.5,2978.3
6000,California,30,        Printing and related support activities,3413.5,3440.3,3264.7,3503,3391.2,3285.8,3306.1,3279.1,3409.6,3319.7,2803.2,2949.1
6000,California,31,        Petroleum and coal products manufacturing,45212.2,23829.9,20101.8,19787,28201.9,26999.2,22472.4,27960.3,40636.7,42400.5,19167.5,19523.5
6000,California,32,        Chemical manufacturing,37910.4,33451.2,39033.4,45859.9,44736.3,44093.3,49180.1,53426.5,53941.1,63050.7,67755.1,66638.1
6000,California,33,        Plastics and rubber products manufacturing,4631.2,4304.5,4364.7,4159.1,4118.6,4679.2,4493.4,4397.3,4722.7,4672.4,4728.6,4857.8
8000,Colorado,2,  Private industries,232735.1,236900.7,242101.9,251668.3,263547.8,276273.2,281726.3,291642.2,303944.6,318911.4,313062.8,332759.9
8000,Colorado,12,    Manufacturing,21154.4,21247.7,20868.7,21244.1,22144.7,22592.2,22316.9,22190.9,23312.5,24492.7,24724.9,26616.1
8000,Colorado,14,        Wood product manufacturing,213.4,184.6,177.6,182.8,180.2,204.6,223.6,245.6,238.6,274.2,249.4,262.6
8000,Colorado,15,        Nonmetallic mineral product manufacturing,706.1,719.2,774.5,930.8,930,1070.5,1024.1,1025.9,1111.6,1140.2,1080.7,1067.7
8000,Colorado,16,        Primary metal manufacturing,292,290.3,417.7,355.3,365.8,393.5,248.1,177.4,319.1,559.5,532,494.6
8000,Colorado,17,        Fabricated metal product manufacturing,1140.1,1345,1341.2,1454.6,1459.7,1358.1,1359,1405.3,1531.7,1587.5,1490.7,1562.3
8000,Colorado,18,        Machinery manufacturing,1313,1514.8,1179.8,1265.4,1111.4,1171.6,1146.2,1136.6,1276.7,1313.7,1223.9,1320.8
8000,Colorado,19,        Computer and electronic product manufacturing,4946.7,5187.2,5856.4,6074.4,5885.3,5739.9,5263.1,6146.6,6149.1,6264,6432.5,6654.1
8000,Colorado,20,"        Electrical equipment, appliance, and component manufacturing",246.9,298.8,373,428.2,383.6,439.6,456,302.6,351.9,300.4,246.4,292.7
8000,Colorado,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",64.3,79.4,71.6,63.9,101.3,91.4,91.1,113.1,147.9,186.2,234.9,311.6
8000,Colorado,22,        Other transportation equipment manufacturing,1306.1,1191.2,1040.7,1090.1,1187.4,1534.1,1776.7,1861.5,1887.6,2044.3,1857.8,2003
8000,Colorado,23,        Furniture and related product manufacturing,285.6,294.3,324.6,355.1,410,500.3,486.9,462.2,497.9,486.4,482.1,484.2
8000,Colorado,24,        Miscellaneous manufacturing,1799.1,1794.2,1681.3,1581.8,1700.6,1448.3,1668.2,1641.5,1836.8,1654.7,1676.7,1858.2
8000,Colorado,26,        Food and beverage and tobacco product manufacturing,3476.3,3285.2,3348.9,3573.5,3359.7,3493.4,3638.2,3610.2,3432.8,4055.5,4506.1,5144.1
8000,Colorado,27,        Textile mills and textile product mills,143.9,112.7,141.5,147,138.6,194.4,95.9,85,75.9,73.6,70.5,71.5
8000,Colorado,28,"        Apparel, leather, and allied product manufacturing",34.1,36.6,38.2,42.6,41,40.9,43.6,45.5,48.3,36.4,32,41.4
8000,Colorado,29,        Paper manufacturing,156.6,135,137.5,141.5,97.2,97.1,101.9,98.5,132,149.8,185.2,181
8000,Colorado,30,        Printing and related support activities,443.6,458.2,399.3,411.2,437.9,414.2,428,388.5,418.7,399,303.6,313
8000,Colorado,31,        Petroleum and coal products manufacturing,1692.1,1161.2,1038,1068.8,2024.4,1786.6,1638.2,1496.2,1317.4,1429,1578.7,1895.5
8000,Colorado,32,        Chemical manufacturing,2540.2,2753.9,2010.3,1511.9,1858.3,1973.2,1870.7,1243.8,1572,1604,1678.6,1804.6
8000,Colorado,33,        Plastics and rubber products manufacturing,524.5,445.6,516.7,561.8,630.3,686.8,649.7,676.7,811.9,779,803.6,817.2
9000,Connecticut,2,  Private industries,219412.8,213757.8,216663.9,211850.5,211696.7,218349.5,218981.2,222679.1,225488.6,228763,213044.4,224388.2
9000,Connecticut,12,    Manufacturing,30666.9,29398.7,29076.7,29762,28383.3,28053,25710.3,26954.2,29940.9,31353,28404.4,30995.8
9000,Connecticut,14,        Wood product manufacturing,50.1,62.6,68.5,71.9,63.8,75,72.1,64.9,59.3,63.2,54.5,56.1
9000,Connecticut,15,        Nonmetallic mineral product manufacturing,191.4,231.2,253,205.9,213.8,212.8,210.3,201.6,200.6,167.9,190.1,194.3
9000,Connecticut,16,        Primary metal manufacturing,434.8,452.1,476,526.3,458.3,464.1,544.1,479.8,547.6,626.7,600.3,487.2
9000,Connecticut,17,        Fabricated metal product manufacturing,3152.8,3408.8,3587,3812.2,3425.8,3407.9,3422,3535.9,3456,3500.7,3174.3,3355.7
9000,Connecticut,18,        Machinery manufacturing,1749.7,1601.8,1964,2092.6,2017.5,1703.8,1576.3,1592.8,1525.3,1418.4,1482.9,1656.3
9000,Connecticut,19,        Computer and electronic product manufacturing,1610.8,1619.2,1727.6,1918.2,2297.7,2198.3,2049.9,1952.1,2286.1,2503.4,2289.8,2277.8
9000,Connecticut,20,"        Electrical equipment, appliance, and component manufacturing",1757.1,1840.2,1723,1935.8,1799.8,1469.9,1268.2,1169.8,1256.9,1340.8,1195.8,1290.5
9000,Connecticut,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",323.4,415.5,389.4,409.8,417.3,412,378.6,397.5,400.2,395.6,362.2,463.6
9000,Connecticut,22,        Other transportation equipment manufacturing,8887.8,8065.2,8350.6,7388.2,6642.2,7734.1,6609.5,7619,9938.5,11227.3,8927.1,10579.1
9000,Connecticut,23,        Furniture and related product manufacturing,164.5,166.8,162.2,170.7,182.2,171.5,182.4,176.7,194.1,172,183.6,206.1
9000,Connecticut,24,        Miscellaneous manufacturing,2036.9,2080.3,1832,2237,2332.2,2045.8,2313.8,2448.1,2435.5,2478.2,2397.9,2678.7
9000,Connecticut,26,        Food and beverage and tobacco product manufacturing,1292.1,1316.5,1262.2,1407.6,1263.1,1336.9,1248.1,1217.9,1360.4,1572.8,1420.3,1542.6
9000,Connecticut,27,        Textile mills and textile product mills,141.1,121.2,125.8,135.3,172.7,173.1,200.2,191.5,132.4,121.1,106.9,115.4
9000,Connecticut,28,"        Apparel, leather, and allied product manufacturing",44.6,68.1,73.9,84.7,86.9,92.8,97.6,90.9,36.8,33.4,26.6,32.3
9000,Connecticut,29,        Paper manufacturing,377.3,479.6,436.4,518.2,447.6,386.7,286.3,498.9,364.2,429.4,559.3,547.4
9000,Connecticut,30,        Printing and related support activities,509.9,543.3,472.8,446.3,437.5,445.4,461.1,461.5,474.7,462.4,389.7,416.9
9000,Connecticut,31,        Petroleum and coal products manufacturing,240.4,153.7,171.8,231.6,366.8,308.1,357.1,309.2,295.4,239.9,240.9,251.6
9000,Connecticut,32,        Chemical manufacturing,7201,6200.1,5342.9,5595.1,5331.2,4874.8,4007.2,3999.5,4495.3,4186.8,4329.9,4364.9
9000,Connecticut,33,        Plastics and rubber products manufacturing,587.3,585.6,657.4,584,491.6,587.1,553.8,607.3,561.4,562,576.1,564.2
10000,Delaware,2,  Private industries,54208.7,56505.3,56023,54068.1,58986.9,60838.2,56973.4,54104.2,55018.1,57790,55977,58006.3
10000,Delaware,12,    Manufacturing,4459.5,4362.6,3838.8,3954.8,4024.9,4807.2,3979.7,4556.4,4724.3,5361.1,5134.9,5166.3
10000,Delaware,14,        Wood product manufacturing,17,19.9,18.9,17.9,16.3,18.5,20,19.7,14.7,17.5,15,18.4
10000,Delaware,15,        Nonmetallic mineral product manufacturing,65.2,58.3,53.9,41.1,47.3,41.7,45.9,79.6,75.3,79.8,86.9,89.6
10000,Delaware,16,        Primary metal manufacturing,57.5,57,90.9,87.2,32.9,41.5,39,41.5,26.4,38.6,37.7,30.7
10000,Delaware,17,        Fabricated metal product manufacturing,128.1,142.6,152.3,145.9,127.5,118.7,130.5,132.3,137.9,136,89,89.7
10000,Delaware,18,        Machinery manufacturing,64.1,67.9,70.1,74.1,87.5,103.1,93.5,102.9,104.2,113.5,155.8,167.3
10000,Delaware,19,        Computer and electronic product manufacturing,553.4,467.2,687.7,565.1,566.7,653.3,606.1,636.3,729,682.3,625.3,598.8
10000,Delaware,20,"        Electrical equipment, appliance, and component manufacturing",148.8,141.4,84.4,89.4,92.9,175.8,92.3,105.9,97.6,115.9,94.4,90.1
10000,Delaware,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",29,25.5,6.1,7.2,6.3,7.5,7,7.5,14.8,16.2,5.5,8
10000,Delaware,22,        Other transportation equipment manufacturing,81.7,76,73.2,124.3,116.7,75.2,79.3,72.2,82.1,81.5,95.5,98.4
10000,Delaware,23,        Furniture and related product manufacturing,22.5,24.2,24.3,33.3,36.1,34.1,32.2,31.9,29,27.2,32,37
10000,Delaware,24,        Miscellaneous manufacturing,192,185.9,182.7,103.8,121.9,134,167.8,188.7,173.5,162.5,187.5,205.5
10000,Delaware,26,        Food and beverage and tobacco product manufacturing,711.4,715,685.9,783.8,793.8,790.4,739.1,989.8,948.1,986.1,1011.6,1071.5
10000,Delaware,27,        Textile mills and textile product mills,65.8,52.2,54.7,52.8,57.3,53.8,59.9,58.1,55.7,54.4,55.8,56.3
10000,Delaware,28,"        Apparel, leather, and allied product manufacturing",4,3.1,3,2.6,1.8,1.7,1.6,1.7,1.1,0.9,0.8,0.8
10000,Delaware,29,        Paper manufacturing,171.6,135.6,128.6,115.2,115.9,161,177.1,185.6,155.4,164.4,185.3,186.2
10000,Delaware,30,        Printing and related support activities,36.8,39.9,40.6,39.6,39.4,36.5,31.9,25.6,24,23.7,27.5,27.5
10000,Delaware,31,        Petroleum and coal products manufacturing,185,183.6,320.7,501.2,703.3,723.1,763,839.6,984.4,1102,427.5,372.3
10000,Delaware,32,        Chemical manufacturing,1707.7,1752.7,873.3,866.2,864,1397.1,768.8,862.2,934.1,1394.4,1582.2,1557.8
10000,Delaware,33,        Plastics and rubber products manufacturing,219.8,230.2,287.5,315.4,239.1,254.4,222.5,251.5,263.3,249.7,142,147.1
